param_name,layer_num,component,param_count,relative_l2_diff
layers.0.self_attn.q_proj.bias,0,attention,2048,3.667340854892606e-06
layers.11.self_attn.k_proj.weight,11,attention,524288,0.0005161188375520766
layers.21.self_attn.q_proj.bias,21,attention,2048,3.988957360779037e-06
layers.6.self_attn.q_proj.weight,6,attention,4194304,0.0004765269606226581
layers.30.mlp.down_proj.weight,30,ffn,22544384,0.0005764930217736332
layers.13.post_attention_layernorm.weight,13,attention,2048,1.959345085357307e-07
layers.35.self_attn.q_proj.weight,35,attention,4194304,0.0007227540898179738
layers.31.self_attn.q_proj.weight,31,attention,4194304,0.0006381948816978256
layers.28.self_attn.o_proj.weight,28,attention,4194304,0.0006287560107392341
layers.15.self_attn.o_proj.weight,15,attention,4194304,0.0006407306562911533
layers.2.self_attn.q_proj.bias,2,attention,2048,4.538436521909174e-06
layers.0.mlp.gate_proj.weight,0,ffn,22544384,0.00046935482220906977
layers.23.input_layernorm.weight,23,norm,2048,0.0
layers.3.self_attn.v_proj.weight,3,attention,524288,0.0009298121488920777
layers.15.self_attn.q_proj.bias,15,attention,2048,2.605633495916076e-06
layers.31.mlp.gate_proj.weight,31,ffn,22544384,0.0005986071240147618
layers.27.self_attn.q_proj.bias,27,attention,2048,6.763521345525334e-07
layers.32.self_attn.k_proj.weight,32,attention,524288,0.0009743458929593286
layers.17.mlp.down_proj.weight,17,ffn,22544384,0.000597858527935089
layers.27.mlp.gate_proj.weight,27,ffn,22544384,0.0005998891714875241
layers.4.self_attn.k_proj.bias,4,attention,256,1.0184223376807088e-05
layers.22.mlp.gate_proj.weight,22,ffn,22544384,0.0005866284038905533
layers.23.self_attn.q_proj.bias,23,attention,2048,2.741569997176214e-06
layers.30.self_attn.v_proj.weight,30,attention,524288,0.0005176407468719907
layers.10.self_attn.o_proj.weight,10,attention,4194304,0.0005835273117661534
layers.19.self_attn.k_proj.bias,19,attention,256,5.365278742810252e-06
layers.14.mlp.up_proj.weight,14,ffn,22544384,0.0005352614462297741
layers.28.self_attn.q_proj.weight,28,attention,4194304,0.0006397658014468323
layers.13.self_attn.q_proj.weight,13,attention,4194304,0.0005230153250717904
layers.29.mlp.gate_proj.weight,29,ffn,22544384,0.0005829482284589294
layers.19.self_attn.v_proj.weight,19,attention,524288,0.000744623622072882
layers.4.self_attn.q_proj.weight,4,attention,4194304,0.00047460181960951075
layers.23.mlp.down_proj.weight,23,ffn,22544384,0.0006258409321215844
